Date,SKU_ID,Item_Name,Category,Warehouse,Opening_Stock,Stock_In,Stock_Out,Unit_Price,Closing_Stock,Sales_Value,Reorder_Level,Supplier,Lead_Time_Days,Discount_Applied,Is_Subscriber,Review_Rating,Return_Rate,Purchase_Frequency,Stock_Turnover
18-02-2024,SKU100000,Sweater,Footwear,WH_C,477,251,,1086.01,334,427887.94,51,Supplier_Y,4,1,1,1,0.073,9,0.972
16-01-2025,SKU100001,Shirt,Footwear,WH_C,485,280,212,1216.43,553,257883.16,,Supplier_Z,18,0,0,1,0.009,9,0.408
04-08-2024,SKU100002,Hat,Accessories,WH_A,415,100,101,1435.17,414,144952.17,50,Supplier_W,24,1,0,5,0.086,5,0.244
22-02-2024,SKU100003,Belt,,487,281,359,1073.63,409,385433.17,58,Supplier_W,5,1,1,2,0.19,6,0.801,
18-01-2024,SKU100004,Skirt,,WH_A,284,162,213,1385.31,233,295071.03,92,Supplier_Z,22,0,1,3,0.093,1,0.824
08-10-2025,SKU100005,Blouse,Footwear,WH_B,446,202,303,709.68,345,215033.04,91,Supplier_X,3,0,1,3,0.06,12,0.766
28-11-2023,SKU100006,Socks,Footwear,WH_C,5,99,154,1876.53,0,288985.62,46,Supplier_Y,23,0,1,3,0.19,12,61.6
14-07-2025,SKU100007,Sneakers,Clothing,WH_A,,280,379,175.84,118,66643.36,,Supplier_W,22,0,0,3,0.101,4,2.263
08-03-2024,SKU100008,,Clothing,WH_C,26,256,199,1113.8,83,221646.2,104,Supplier_Z,10,0,0,3,0.057,1,3.651
16-02-2025,SKU100009,Jeans,Accessories,WH_C,226,93,167,220.42,152,36810.14,16,Supplier_X,21,0,1,4,0.157,4,0.884
09-06-2024,SKU100010,Scarf,Accessories,WH_B,283,278,237,913.4,324,216475.8,47,Supplier_X,28,1,0,4,0.045,12,0.781
03-10-2024,SKU100011,Sunglasses,Accessories,WH_C,388,226,158,552.29,456,87261.82,67,Supplier_Y,3,1,0,4,0.05,1,0.374
08-02-2025,SKU100012,Tie,Clothing,WH_B,424,149,192,1876.96,381,360376.32,14,Supplier_Y,28,0,1,5,0.065,10,0.477
03-02-2024,SKU100013,T-Shirt,Clothing,WH_C,55,61,166,75.5,0,12533,70,Supplier_Z,7,0,1,5,0.079,4,6.036
14-11-2024,SKU100014,Socks,Accessories,WH_C,367,128,225,812.85,270,182891.25,92,Supplier_Z,3,1,0,3,0.117,6,0.706
15-02-2024,SKU100015,Socks,Accessories,WH_C,309,186,366,1574.98,129,576442.68,86,Supplier_X,13,1,0,4,0.103,9,1.671
01-09-2025,SKU100016,Coat,Footwear,WH_C,335,67,250,417.5,152,104375,48,Supplier_X,23,0,1,4,0.149,2,1.027
17-03-2024,SKU100017,Shirt,Footwear,WH_C,104,29,279,1640.4,0,457671.6,37,Supplier_W,11,1,0,5,0.143,2,5.365
30-08-2025,SKU100018,Sandals,Accessories,WH_C,17,274,220,1726.46,71,379821.2,66,Supplier_X,7,0,0,3,0.009,6,5
11-09-2024,SKU100019,Sweater,Accessories,WH_B,204,126,22,1430.61,308,31473.42,11,Supplier_Z,4,0,1,4,0.027,11,0.086
16-10-2024,SKU100020,Bag,Footwear,WH_B,42,212,188,457.68,66,86043.84,79,Supplier_Y,15,0,0,4,0.043,10,3.481
13-03-2025,SKU100021,Sunglasses,Accessories,WH_A,88,133,271,580.48,0,157310.08,88,Supplier_Z,20,1,0,4,0.12,12,6.159
25-12-2024,SKU100022,Blouse2,Footwear,WH_C,73,218,26,375.52,265,9763.52,37,Supplier_W,28,0,0,3,0.179,6,0.154
27-11-2024,SKU100023,Shorts,Footwear,WH_B,156,156,388,408.92,0,158660.96,46,Supplier_W,27,1,0,3,0.065,12,4.974
17-05-2024,SKU100024,Scarf,Footwear,WH_C,265,187,209,121.16,243,25322.44,98,Supplier_Y,14,0,1,4,0.193,3,0.823
10-08-2024,SKU100025,Sneakers,Clothing,WH_C,133,161,34,1721.76,260,58539.84,105,Supplier_Z,16,0,0,3,0.035,2,0.173
16-04-2024,SKU100026,Tie,Clothing,WH_B,463,128,197,1080.58,394,212874.26,64,Supplier_W,7,0,0,1,0.185,3,0.46
09-02-2025,SKU100027,Watch,Accessories,WH_C,88,88,173,689.13,3,119219.49,110,Supplier_Z,29,0,0,5,0.16,12,3.802
16-09-2024,SKU100028,Socks,Footwear,WH_B,235,161,217,614.68,179,133385.56,109,Supplier_W,26,0,1,2,0.078,12,1.048
29-11-2023,SKU100029,Watch,Clothing,WH_B,131,35,55,1112.16,111,61168.8,103,Supplier_Y,12,0,1,2,0.041,4,0.455
17-07-2024,SKU100030,Watch,Accessories,WH_A,228,226,382,687.04,72,262449.28,118,Supplier_W,22,0,1,5,0.078,4,2.547
21-05-2025,SKU100031,Jacket,Accessories,WH_A,33,150,151,1734.25,32,261871.75,97,Supplier_Z,4,0,0,3,0.043,7,4.646
24-02-2025,SKU100032,Bag,Accessories,WH_A,82,80,393,461.37,0,181318.41,91,Supplier_Z,6,0,0,3,0.112,4,9.585
05-01-2024,SKU100033,Tie,Accessories,WH_A,416,46,37,1770.49,425,65508.13,10,Supplier_W,14,1,1,4,0.115,10,0.088
01-04-2025,SKU100034,Sandals,Accessories,WH_C,131,203,197,1344.98,137,264961.06,12,Supplier_X,13,0,0,2,0.154,6,1.47
19-09-2025,SKU100035,Sneakers,Footwear,WH_C,427,147,8,1915.43,566,15323.44,80,Supplier_Y,6,0,1,3,0.106,6,0.016
25-02-2025,SKU100036,Cap,Accessories,WH_A,353,230,177,79.46,406,14064.42,106,Supplier_Y,13,1,0,2,0.069,10,0.466
07-10-2025,SKU100037,Coat,Footwear,WH_B,203,26,324,165.24,0,53537.76,94,Supplier_W,11,0,0,3,0.182,3,3.192
15-05-2024,SKU100038,Blouse2,Clothing,WH_B,286,188,175,1026.74,299,179679.5,23,Supplier_W,12,0,0,5,0.016,9,0.598
24-09-2025,SKU100039,Bag,Accessories,WH_B,335,164,260,1829.14,239,475576.4,57,Supplier_X,29,0,0,5,0.162,10,0.906
23-05-2025,SKU100040,Sunglasses,Clothing,WH_B,449,211,83,1475.05,577,122429.15,46,Supplier_Y,8,0,1,3,0.082,5,0.162
27-05-2025,SKU100041,Sandals,Footwear,WH_C,496,74,138,1263.17,432,174317.46,12,Supplier_X,17,0,1,3,0.036,10,0.297
08-07-2024,SKU100042,Scarf,Footwear,WH_B,441,91,241,111.62,291,26900.42,58,Supplier_Y,12,0,0,2,0.024,9,0.658
26-03-2025,SKU100043,Scarf,Clothing,WH_B,315,61,315,740.62,61,233295.3,110,Supplier_W,24,0,1,3,0.044,10,1.676
17-03-2024,SKU100044,Blouse,Accessories,WH_A,257,65,154,724.41,168,111559.14,65,Supplier_Y,23,0,0,5,0.024,6,0.725
06-03-2025,SKU100045,Shorts,Accessories,WH_B,291,79,220,1107.07,150,243555.4,98,Supplier_Y,8,0,1,5,0.092,6,0.998
15-08-2025,SKU100046,Jacket,Clothing,WH_C,453,139,134,552.76,458,74069.84,69,Supplier_Y,3,0,0,1,0.07,9,0.294
28-11-2023,SKU100047,Jeans,Clothing,WH_B,124,129,187,570.95,66,106767.65,106,Supplier_X,23,0,1,3,0.071,10,1.968
22-04-2024,SKU100048,Sunglasses,Clothing,WH_B,443,253,177,1260.68,519,223140.36,22,Supplier_X,30,1,1,3,0.031,5,0.368
07-08-2024,SKU100049,Blouse2,Accessories,WH_C,150,28,66,1891.91,112,124866.06,62,Supplier_Y,24,0,1,5,0.132,3,0.504
29-11-2024,SKU100050,Sunglasses,Accessories,WH_A,358,201,68,1337.35,491,90939.8,59,Supplier_Z,26,0,0,4,0.122,3,0.16
30-06-2025,SKU100051,Jacket,Accessories,WH_C,246,236,76,1352.85,406,102816.6,106,Supplier_X,22,1,0,3,0.196,2,0.233
18-09-2024,SKU100052,Dress,Clothing,WH_A,174,86,399,1973.12,0,787274.88,102,Supplier_W,23,1,0,5,0.034,2,4.586
21-11-2023,SKU100053,Sneakers,Accessories,WH_B,371,95,373,349.28,93,130281.44,28,Supplier_W,6,0,0,5,0.167,6,1.608
06-07-2024,SKU100054,Bag,Footwear,WH_A,491,286,11,115.98,766,1275.78,35,Supplier_Y,25,0,1,4,0.007,8,0.018
18-10-2024,SKU100055,Bag,Clothing,WH_A,356,288,282,1503.75,362,424057.5,62,Supplier_W,28,0,1,2,0.015,11,0.786
25-05-2025,SKU100056,Tie,Accessories,WH_A,301,251,245,905.64,307,221881.8,66,Supplier_X,24,1,0,3,0.13,8,0.806
12-10-2024,SKU100057,Tie,Clothing,WH_B,79,179,236,886.21,22,209145.56,47,Supplier_Z,16,0,0,2,0.081,8,4.673
07-02-2024,SKU100058,Skirt,Footwear,WH_A,106,99,251,489.34,0,122824.34,18,Supplier_Z,22,0,1,4,0.046,10,4.736
08-11-2024,SKU100059,Blouse,Footwear,WH_A,299,72,206,1038.38,165,213906.28,55,Supplier_Z,24,1,0,4,0.001,7,0.888
04-02-2025,SKU100060,Shorts,Clothing,WH_B,402,130,340,912.24,192,310161.6,103,Supplier_W,22,0,1,4,0.133,2,1.145
08-01-2025,SKU100061,Bag,Clothing,WH_C,304,181,107,723.63,378,77428.41,95,Supplier_Y,30,0,0,2,0.088,10,0.314
30-03-2025,SKU100062,Belt,Footwear,WH_C,343,193,208,913.35,328,189976.8,116,Supplier_W,10,0,0,4,0.034,11,0.62
12-12-2023,SKU100063,Sweater,Clothing,WH_C,57,17,310,798.48,0,247528.8,13,Supplier_Y,13,1,1,4,0.194,2,10.877
31-05-2024,SKU100064,Dress,Footwear,WH_B,90,125,307,1882.8,0,578019.6,80,Supplier_Z,17,1,0,2,0.07,10,6.822
27-01-2024,SKU100065,Jacket,Footwear,WH_B,134,210,292,1961.49,52,572755.08,91,Supplier_X,21,0,1,4,0.061,7,3.14
22-05-2025,SKU100066,Sneakers,Accessories,WH_C,349,6,112,1687.81,243,189034.72,59,Supplier_W,10,0,0,5,0.102,4,0.378
29-11-2024,SKU100067,Bag,Clothing,WH_A,168,113,375,1981.31,0,742991.25,79,Supplier_X,15,0,0,4,0.055,6,4.464
09-11-2023,SKU100068,Blouse,Clothing,WH_C,333,83,14,568.15,402,7954.1,102,Supplier_Z,20,0,1,2,0.055,9,0.038
01-12-2024,SKU100069,Blouse,Accessories,WH_B,121,101,339,1693.7,0,574164.3,14,Supplier_Y,24,0,1,2,0.193,5,5.603
26-05-2025,SKU100070,Coat,Footwear,WH_A,499,92,82,842.93,509,69120.26,79,Supplier_X,26,0,1,1,0.052,10,0.163
21-02-2024,SKU100071,Jeans,Clothing,WH_A,235,101,64,1504.97,272,96318.08,43,Supplier_W,19,0,1,4,0.121,4,0.252
26-02-2025,SKU100072,Jeans,Accessories,WH_B,398,250,2,442.72,646,885.44,107,Supplier_X,8,0,0,4,0.007,3,0.004
10-10-2025,SKU100073,Bag,Accessories,WH_A,75,23,360,1633.31,0,587991.6,74,Supplier_X,27,0,1,4,0.031,7,9.6
13-12-2024,SKU100074,Sweater,Clothing,WH_C,308,166,235,212.76,239,49998.6,27,Supplier_W,17,0,0,4,0.004,7,0.859
06-11-2025,SKU100075,Shirt,Accessories,WH_B,476,139,388,577.59,227,224104.92,36,Supplier_Y,15,1,0,5,0.107,7,1.104
16-05-2025,SKU100076,Sunglasses,Footwear,WH_B,22,93,392,1652.81,0,647901.52,19,Supplier_W,28,0,1,4,0.098,5,35.636
17-04-2024,SKU100077,Sweater,Accessories,WH_B,332,180,128,1506.96,384,192890.88,112,Supplier_Z,28,0,0,4,0.066,10,0.358
27-05-2024,SKU100078,Blouse,Footwear,WH_B,72,63,246,1027.43,0,252747.78,11,Supplier_Y,20,0,1,3,0.14,8,6.833
03-08-2024,SKU100079,Sneakers,Footwear,WH_A,87,3,234,1361.95,0,318696.3,92,Supplier_X,13,0,0,3,0.125,11,5.379
04-08-2024,SKU100080,Sneakers,Clothing,WH_B,102,93,29,411.87,166,11944.23,100,Supplier_W,15,1,0,5,0.12,2,0.216
